name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,cpd_inv_tested,test_interval,observer_response,correct,quest_estimate_cpd_inv,quest_estimate_m,quest_sd_cpd_inv,retinal_spatial_freq_cpd,temporal_freq_hz
YanchengCai,rg,75,0.14,50,0.2,27,2.0,20,2.217,-3.21863,1,1,1,-3.25275,2.2891,0.08905,33.3436,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,21,2.2969,-3.25644,2,2,1,-3.26335,2.3118,0.08353,34.5326,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,22,2.2969,-3.25644,1,1,1,-3.27299,2.3325,0.07849,34.5326,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,23,2.2969,-3.25644,1,1,1,-3.28173,2.3515,0.07393,34.5326,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,24,2.3566,-3.28407,1,1,1,-3.28968,2.3688,0.07012,35.4191,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,25,2.3566,-3.28407,2,2,1,-3.29699,2.3848,0.06663,35.4191,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,26,2.3566,-3.28407,1,1,1,-3.30371,2.3996,0.06345,35.4191,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,27,2.4038,-3.30562,2,2,1,-3.30987,2.4131,0.06082,36.1209,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,28,2.4038,-3.30562,1,2,0,-3.29214,2.3742,0.0647,36.1209,15.0
YanchengCai,rg,75,0.14,50,0.2,27,2.0,29,2.4038,-3.30562,1,1,1,-3.29844,2.388,0.06217,36.1209,15.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,0,1.15,-2.8006,2,2,1,-2.86379,1.233,0.25786,21.9662,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,1,1.15,-2.8006,2,2,1,-2.91915,1.3087,0.24026,21.9662,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,2,1.15,-2.8006,1,1,1,-2.96387,1.3718,0.21829,21.9662,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,3,1.3706,-2.96306,2,1,0,-2.80846,1.1601,0.20359,26.0148,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,4,1.3706,-2.96306,2,2,1,-2.84616,1.2095,0.20148,26.0148,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,5,1.3706,-2.96306,2,2,1,-2.88453,1.261,0.19602,26.0148,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,6,1.2716,-2.89228,2,1,0,-2.7599,1.0983,0.18766,24.1947,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,7,1.2716,-2.89228,2,1,0,-2.69203,1.0153,0.17683,24.1947,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,8,1.2716,-2.89228,1,1,1,-2.71909,1.0479,0.17675,24.1947,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,9,1.0506,-2.72128,2,2,1,-2.75465,1.0918,0.16606,20.152,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,10,1.0506,-2.72128,1,1,1,-2.78522,1.1303,0.1526,20.152,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,11,1.0506,-2.72128,1,1,1,-2.81034,1.1626,0.13831,20.152,45.0
YanchengCai,ach,180,0.9,50,0.25,27,2.0,12,1.1775,-2.8218,1,1,1,-2.83251,1.1915,0.12803,22.4688,45.0
