name,color,speed_px_per_sec,contrast,mean_luminance,spatial_frequency_cpp,sf_cpp_eff,speed_eff,diagonal_inch,visual_radius_deg,trial_index,distance_m_tested,cpd_inv_tested,test_interval,observer_response,correct,quest_estimate_cpd_inv,quest_estimate_m,quest_sd_cpd_inv,retinal_spatial_freq_cpd,temporal_freq_hz
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,0,1.26,-2.88376,2,2,1,-2.94695,1.3477,0.25786,23.9816,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,1,1.26,-2.88376,1,1,1,-3.0023,1.4275,0.24026,23.9816,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,2,1.26,-2.88376,1,1,1,-3.04703,1.4941,0.21829,23.9816,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,3,1.4929,-3.04622,2,2,1,-3.0917,1.5625,0.20124,28.2671,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,4,1.4929,-3.04622,1,1,1,-3.12914,1.6213,0.18164,28.2671,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,5,1.4929,-3.04622,1,1,1,-3.15913,1.6694,0.162,28.2671,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,6,1.6796,-3.16539,1,1,1,-3.18704,1.715,0.14802,31.7161,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,7,1.6796,-3.16539,2,2,1,-3.21097,1.7547,0.13378,31.7161,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,8,1.6796,-3.16539,2,2,1,-3.23096,1.7883,0.12014,31.7161,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,9,1.8058,-3.24125,1,1,1,-3.24796,1.8172,0.10997,34.0517,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,10,1.8058,-3.24125,1,1,1,-3.26275,1.8426,0.10013,34.0517,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,11,1.8058,-3.24125,1,2,0,-3.21596,1.7631,0.11725,34.0517,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,12,1.7752,-3.22317,2,2,1,-3.23244,1.7908,0.1079,33.4849,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,13,1.7752,-3.22317,2,2,1,-3.24693,1.8155,0.09897,33.4849,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,14,1.7752,-3.22317,2,2,1,-3.25952,1.837,0.09069,33.4849,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,15,1.8499,-3.26697,2,2,1,-3.27035,1.8557,0.08398,34.8688,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,16,1.8499,-3.26697,2,2,1,-3.27994,1.8724,0.07772,34.8688,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,17,1.8499,-3.26697,1,1,1,-3.28839,1.8871,0.07198,34.8688,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,18,1.9011,-3.29637,2,2,1,-3.2957,1.9,0.06717,35.8186,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,19,1.9011,-3.29637,1,1,1,-3.30223,1.9115,0.06272,35.8186,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,20,1.9011,-3.29637,2,2,1,-3.30804,1.9217,0.05862,35.8186,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,21,1.9368,-3.31651,1,1,1,-3.31313,1.9308,0.05508,36.479,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,22,1.9368,-3.31651,2,2,1,-3.31771,1.9389,0.05179,36.479,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,23,1.9368,-3.31651,1,1,1,-3.32183,1.9463,0.04877,36.479,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,24,1.9619,-3.33056,1,1,1,-3.32545,1.9527,0.04613,36.9445,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,25,1.9619,-3.33056,2,2,1,-3.32874,1.9586,0.04368,36.9445,30.0
Rafal Mantiuk,ach,120,0.9,50,0.25,0.25,120,27,2.0,26,1.9619,-3.33056,1,2,0,-3.31994,1.9429,0.04873,36.9445,30.0
Rafal Mantiuk,yv,600,0.92,1,0.02,0.02,600,27,2.0,0,1.3,-1.25513,2,1,0,-1.18956,1.0994,0.09928,1.9773,12.0
Rafal Mantiuk,yv,600,0.92,1,0.02,0.02,600,27,2.0,1,1.3,-1.25513,2,1,0,-1.15628,1.0051,0.08239,1.9773,12.0
Rafal Mantiuk,yv,600,0.92,1,0.02,0.02,600,27,2.0,2,1.3,-1.25513,1,2,0,-1.15443,1.0,0.07195,1.9773,12.0
Rafal Mantiuk,yv,600,0.92,1,0.02,0.01,1200,27,2.0,3,1.9514,-1.13704,2,2,1,-1.15083,2.0244,0.09306,1.47,12.0
